ngram,count
happiness,122
social,112
wellbeing,82
index,65
development,37
satisfaction,36
sociology,36
freedom,30
subjective,30
economic,28
dimensions,26
accessed,25
health,25
research,25
bericat,23
scale,23
studies,23
veenhoven,22
countries,21
national,21
gdp,20
measurement,20
quality,20
education,19
income,19
report,19
institute,18
personal,18
policy,18
scales,17
expectancy,16
material,16
emotions,15
individuals,15
journal,15
level,15
measure,15
values,15
possible,14
used,14
emotional,13
evaluation,13
happy,13
harmony,13
indices,13
measuring,13
survey,13
years,13
growth,12
legatum,12
states,12
subjective happiness,12
articles,11
basic,11
country,11
gallup,11
ladder,11
analysis,10
capita,10
complexity,10
degree,10
dimension,10
happiness wellbeing,10
individual,10
journal sociology,10
main,10
nations,10
proposed,10
psychology,10
public,10
using,10
welfare,10
article,9
consider,9
economic growth,9
economics,9
etzioni,9
foundation,9
indicators,9
policies,9
political,9
presented,9
review,9
sachs,9
safety,9
social research,9
sociological,9
subjective wellbeing,9
